epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
24,31039.6,0.94086,0.51405,0.84199,0.7886,0.67433,0.72451,0.52306,0.90716,0.51032,0.86775,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429
25,32238.8,0.92562,0.50635,0.83997,0.7986,0.67043,0.72611,0.52423,0.89704,0.50573,0.86492,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143
26,33442.6,0.89628,0.47997,0.8365,0.81096,0.65834,0.72729,0.52653,0.89324,0.50512,0.86591,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857
27,34626.1,0.87933,0.47035,0.83437,0.76296,0.68251,0.72961,0.53059,0.8812,0.50098,0.865,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571
28,35810.5,0.86429,0.4615,0.83233,0.77884,0.66849,0.72658,0.53278,0.87487,0.49558,0.86421,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286
29,36994.3,0.85224,0.45235,0.82984,0.78034,0.67294,0.72691,0.53389,0.86775,0.49236,0.86346,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
30,38177.8,0.84051,0.44369,0.82714,0.78188,0.67455,0.72972,0.53662,0.86112,0.48722,0.86222,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714
31,39362.5,0.82647,0.43521,0.82511,0.79252,0.67625,0.7328,0.53923,0.85539,0.4833,0.86081,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429
32,40547.4,0.81388,0.42698,0.82334,0.788,0.68827,0.73668,0.54168,0.8494,0.48074,0.85897,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143
33,41765.4,0.80402,0.42036,0.82137,0.77497,0.69633,0.73802,0.54363,0.84481,0.47771,0.85866,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571
34,43178,0.79026,0.41203,0.81952,0.7972,0.683,0.73678,0.54378,0.842,0.47498,0.85813,0.00199714,0.000665714,0.00199714,0.000665714,0.00199714,0.000665714,0.00199714,0.000665714
35,44617.6,0.78059,0.40434,0.8178,0.80544,0.6773,0.7371,0.54533,0.83995,0.47359,0.85778,0.00114857,0.000382857,0.00114857,0.000382857,0.00114857,0.000382857,0.00114857,0.000382857
