epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2847.28,1.41799,1.0915,0.94266,0.56545,0.46734,0.49945,0.31529,1.30419,0.90064,0.95618,0.009998,0.00333267,0.009998,0.00333267,0.009998,0.00333267,0.009998,0.00333267
2,4316.11,1.40815,0.92756,0.93301,0.67162,0.4712,0.48707,0.30279,1.33108,0.92859,0.97119,0.0194323,0.00647745,0.0194323,0.00647745,0.0194323,0.00647745,0.0194323,0.00647745
3,5820,1.42684,0.95851,0.93871,0.67109,0.44669,0.46635,0.29516,1.29051,0.95074,0.9804,0.028301,0.00943366,0.028301,0.00943366,0.028301,0.00943366,0.028301,0.00943366
4,7029.86,1.37072,0.9162,0.92996,0.73853,0.47471,0.51828,0.33764,1.22037,0.86405,0.9617,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
5,8232.08,1.28992,0.82803,0.91296,0.73661,0.50067,0.54939,0.36556,1.1787,0.79321,0.9421,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
6,9430.98,1.23481,0.77051,0.90036,0.77891,0.52453,0.57432,0.38564,1.13974,0.74734,0.92902,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
7,10630.2,1.19246,0.73053,0.89082,0.78334,0.54155,0.59643,0.40677,1.10623,0.70953,0.92066,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
8,11834.9,1.16154,0.69924,0.88372,0.64745,0.5496,0.61353,0.41905,1.08457,0.67923,0.91293,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
9,13035,1.13675,0.67951,0.88038,0.67772,0.57725,0.62282,0.42745,1.06885,0.66763,0.90868,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
10,14236.1,1.11439,0.65609,0.87562,0.65047,0.58312,0.63565,0.44011,1.0473,0.6401,0.90141,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
11,15434.8,1.09724,0.64023,0.87086,0.70157,0.60516,0.65217,0.45104,1.0321,0.62338,0.89925,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
12,16638.3,1.07848,0.62603,0.86861,0.73718,0.60229,0.66568,0.46175,1.02585,0.60986,0.89643,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
13,17837.4,1.06714,0.61352,0.86562,0.71611,0.62064,0.66707,0.46729,1.01061,0.59735,0.89358,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571
14,19037.5,1.05051,0.60029,0.86273,0.72338,0.63295,0.67696,0.47492,0.99876,0.58613,0.89075,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286
15,20241.2,1.03842,0.59104,0.86014,0.73895,0.61797,0.67097,0.47649,0.98263,0.57793,0.8856,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
16,21440.4,1.02827,0.58044,0.85787,0.77708,0.63311,0.69235,0.48916,0.97008,0.5628,0.88057,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
17,22639.6,1.01227,0.56781,0.85484,0.72935,0.66042,0.69875,0.49589,0.96155,0.55577,0.88194,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429
18,23838.6,0.99469,0.55831,0.85178,0.75836,0.64579,0.69805,0.49821,0.95216,0.5445,0.87777,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143
19,25037.4,0.98729,0.55105,0.85093,0.80838,0.62794,0.70718,0.50353,0.94001,0.53683,0.87642,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857
20,26235.2,0.97988,0.5419,0.84864,0.76833,0.64643,0.70786,0.51096,0.93114,0.531,0.87287,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571
21,27434.2,0.96615,0.53329,0.84716,0.79659,0.64267,0.71522,0.51395,0.92797,0.52607,0.8726,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
22,28632.9,0.95384,0.52704,0.84512,0.79449,0.65341,0.72223,0.51838,0.91863,0.51996,0.87107,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
23,29835.2,0.94794,0.52116,0.84334,0.80065,0.66318,0.72793,0.5217,0.91152,0.5141,0.86842,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714
