,car,bus,truck,motorcycle,bicycle,autorickshaw
YOLOv11n,0.46481621716613386,0.7191587645857425,0.5546739886827766,0.5685965274926494,0.09562983241552786,0.41305711830081543
YOLOv11s,0.524784871039415,0.7799047358660733,0.646527113062361,0.6491783816343005,0.20650023409196003,0.4899249341674453
YOLOv12n,0.46791397865481726,0.7334739052218379,0.5751478602412361,0.5834726441480704,0.08973468548885989,0.433310630589905
YOLOv12s,0.5262479646904492,0.7875683245743337,0.653065163637883,0.6596328653048397,0.17347513432442704,0.48425268568799373
