epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
11,13139.7,1.23327,0.7569,0.8945,0.77346,0.52467,0.58181,0.3937,1.13209,0.7238,0.91576,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
12,14808.9,1.21412,0.74137,0.89204,0.7799,0.53349,0.58513,0.39715,1.11763,0.71255,0.91272,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
13,16310.4,1.20179,0.72953,0.88915,0.65197,0.54598,0.59441,0.40698,1.10568,0.69801,0.91193,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571,0.0198171,0.00660571
14,17972,1.18365,0.71292,0.88555,0.63153,0.54083,0.60188,0.41339,1.09706,0.69064,0.90744,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286
15,18810.1,1.17205,0.70268,0.88361,0.81394,0.53858,0.60939,0.41842,1.08681,0.67931,0.90745,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
16,20191,1.16043,0.69085,0.88106,0.8376,0.53603,0.61962,0.42615,1.07371,0.66123,0.90048,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
17,21786.2,1.14843,0.68072,0.87775,0.68376,0.57305,0.62129,0.4316,1.06026,0.65734,0.89828,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429
18,23419,1.12892,0.66724,0.87454,0.74404,0.57123,0.62629,0.43561,1.05361,0.64793,0.89555,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143
19,24942.2,1.1232,0.66078,0.87394,0.71132,0.57912,0.63111,0.43833,1.04337,0.63569,0.8943,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857
20,25826.9,1.11514,0.65059,0.87176,0.70573,0.59645,0.63523,0.44312,1.03822,0.62878,0.89248,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571
21,26725.3,1.10302,0.64279,0.86991,0.69061,0.60625,0.64205,0.44813,1.0302,0.62072,0.88883,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
22,27625.6,1.09126,0.63552,0.86806,0.68986,0.59122,0.64132,0.44791,1.02471,0.61688,0.8887,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
23,28438.8,1.0873,0.63121,0.86682,0.76263,0.59313,0.65073,0.45619,1.01771,0.60969,0.88667,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714
24,29244.5,1.08131,0.62444,0.86541,0.72775,0.60755,0.65115,0.45684,1.01422,0.60625,0.88462,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429
25,30048.6,1.06811,0.61544,0.86378,0.74954,0.59554,0.6549,0.45902,1.00827,0.60117,0.88315,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143
26,30870.8,1.03056,0.58236,0.85987,0.71682,0.60567,0.64764,0.45698,1.00241,0.59817,0.88259,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857
27,31664,1.01052,0.5672,0.85664,0.73882,0.59771,0.65597,0.46441,0.99117,0.59155,0.88128,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571
28,32454,0.99851,0.55797,0.85483,0.73518,0.60583,0.65841,0.46728,0.98577,0.58643,0.8802,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286
29,33251.2,0.98913,0.5507,0.85255,0.75487,0.59884,0.65722,0.46633,0.98095,0.58224,0.87976,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
30,34047.1,0.97783,0.54174,0.84976,0.73085,0.60554,0.66005,0.47038,0.97334,0.57716,0.87755,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714
31,34842.6,0.96594,0.53402,0.84803,0.70712,0.62725,0.66169,0.47232,0.96816,0.57432,0.87674,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429
32,35639.6,0.95474,0.52581,0.84633,0.71139,0.62395,0.66334,0.47385,0.9645,0.57112,0.87654,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143
33,36436.7,0.94792,0.52059,0.84544,0.73366,0.61153,0.66586,0.47572,0.96195,0.56785,0.87624,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571
34,37234.4,0.93413,0.51109,0.84299,0.73536,0.61058,0.66749,0.47805,0.95852,0.56516,0.87508,0.00199714,0.000665714,0.00199714,0.000665714,0.00199714,0.000665714,0.00199714,0.000665714
35,38032.3,0.92569,0.50428,0.84119,0.72322,0.62314,0.66833,0.47872,0.95696,0.56356,0.87507,0.00114857,0.000382857,0.00114857,0.000382857,0.00114857,0.000382857,0.00114857,0.000382857
