epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1059.69,1.62087,1.63321,0.96554,0.57323,0.37543,0.36079,0.21842,1.42874,1.20377,0.97073,0.009998,0.00333267,0.009998,0.00333267,0.009998,0.00333267,0.009998,0.00333267
2,1909.69,1.55861,1.18005,0.95902,0.61188,0.40478,0.39442,0.23867,1.42596,1.13967,0.98207,0.0194323,0.00647745,0.0194323,0.00647745,0.0194323,0.00647745,0.0194323,0.00647745
3,2714.48,1.56562,1.14446,0.96451,0.63674,0.40352,0.39899,0.24262,1.40862,1.08425,0.99268,0.028301,0.00943366,0.028301,0.00943366,0.028301,0.00943366,0.028301,0.00943366
4,3509.79,1.51009,1.06808,0.95546,0.63973,0.42748,0.42813,0.26353,1.36571,1.01655,0.98509,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143,0.0274543,0.00915143
5,5125.62,1.43926,0.97046,0.93952,0.66683,0.45432,0.46503,0.29295,1.30034,0.91887,0.9626,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
6,6827.55,1.38972,0.90997,0.92765,0.72923,0.46343,0.49781,0.32017,1.26877,0.87802,0.95071,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
7,8531.38,1.34597,0.865,0.91805,0.7269,0.48157,0.52118,0.34373,1.22205,0.82901,0.93935,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286,0.0249086,0.00830286
8,10093.6,1.30871,0.8269,0.90905,0.74745,0.49785,0.54118,0.36301,1.18944,0.79368,0.93047,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
9,11277,1.27799,0.80045,0.90525,0.7792,0.49378,0.55065,0.36626,1.18203,0.78018,0.92805,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
10,12207.4,1.25561,0.77804,0.90059,0.79064,0.50249,0.56626,0.37984,1.15904,0.74907,0.92195,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
